Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATN1;HS042763;0.0178;1543;311;0;502;77;16648;1822;0030054,5737,16363,48471,3714,16477,7417,30011,122,51402,9404, 0006351;;;;;12p13.31;12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS;HS044092;0.0175;70599;781;0;23619;249;16648;2353;0005829,5783,16020,43005,5654,5667,3690,43565,3700,44212,7568,71277,31668,32870,34614,1661,6306,38095,7565,6954,45087,2755,7399,45944,45893,51090,6357,51591,9409,51412,34097,42493,9629,9416,32496,9612,32570,9636,35914,30431,60395,51403,34166,34134,34138,34142,34146,34162,38123,38124,6366,7179, 0035666;05133,4725,4713,4728,5132,5031,4915,5161,5323,4662,5142,4668,4010,5200,5140,4380,5210,5166,4620,4660,5168, 04917;;;;14q24.3;14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTOR;HS044287;0.0171;37955;563;0;14336;198;16648;2475;0012505,5789,139,5765,5741,70438,5942,16605,31931,31932,5524,8144,4674,43022,1030,1031,1032,1156,16049,71456,31669,7173,38095,8543,7281,45087,8286,10507,45792,16242,51534,48011,18105,18107,48015,30838,1938,10592,46889,10831,50731,51897,1934,51496,45945,45727,46777,30163,32956,43610,31998,5979,45859,32314,32095,43200,7584,31529,31295, 0031929;04920,4151,4910,5214,4012,4930,4066,5206,5215,5200,5205,4150, 05221;;;;1p36.2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC6A1;HS052513;0.0166;2283;180;0;727;79;16648;6529;0030424,9986,16021,5887,5886,5332,5328,51939,7612,32229,7269,14054,51260,51592,42220,32355,10288,14074,9744,9636, 0055085;04727;;;;3p25.3;3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTB;HS041925;0.0158;4285;458;0;1288;87;16648;1476;0005737,5730,4869,8344, 0042981;;;;;21q22.3;21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBFOX3;HS085126;0.0157;3588;153;0;2482;103;16648;146713;0005737,43025,5634,3677,166,3723,6397,381, 0008380;;;;;17q25.3;17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAD1;HS044486;0.0150;7908;293;0;2707;102;16648;2571;0061202,5886,16595,4351,30170,9449,6540,42136,7269,18352, 0042493;00250,430,4727,4940,650,1100, 00410;;;;2q31;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN2A;HS045865;0.0146;5093;220;0;2177;94;16648;2903;0030054,9986,17146,43005,14069,45211,42734,8021,5262,5234,4972,8270,33058,42417,7611,7613,42177,22008,43065,8104,60079,51930,48167,1975,42493,45471,9611,19233,42428,30431,1964,7268, 0008542;05031,4713,4014,4080,5322,5033,4020,5030,4728,5010,5014,4724,5034,4015, 04720;;;;16p13.2;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALB2;HS053776;0.0135;7361;174;0;3130;99;16648;794;0005737,5921, 0005509;;;;;16q22.2;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100G;HS053793;0.0132;6669;111;0;4677;111;16648;795;0016324,16323,5509, 0005499;04978;;;;Xp22.2;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALB1;HS053760;0.0129;10123;261;0;3668;101;16648;793;0030424,5829,30425,43025,5634,5509,5499,71310,7611,7626,72205,72286,72221,35502,48167, 0010842;04961;;;;8q21.3;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRNB2;HS040564;0.0126;247;88;0;131;45;16648;1141;0005892,30054,9897,45211,42166,15464,4889,42113,35095,6816,21952,1661,21771,7626,51899,7613,45759,21631,30890,33603,32226,45188,42320,48814,42053,51963,32225,42220,45471,1666,19233,7605,6939,35176,60084,7271,21562,8542, 0007601;04080,5033, 04725;;;;1q21.3;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLG;HS049553;0.0121;1157;219;0;433;55;16648;5428;0005760,5743,42645,3682,3677,3887,4527,7568,6287,8219,6261, 0006264;01100;;;;15q25;15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIA1;HS045808;0.0119;6048;215;0;2430;84;16648;2890;0032281,30054,9986,32590,43197,30666,5789,43025,14069,45211,8021,4971,5234,15277,30165,7616,31623, 0007268;05031,4723,5014,4728,4080,4713,4730,5033,4724, 04720;;;;5q31.1;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPM2A;HS053799;0.0118;751;210;0;178;45;16648;7957;0005829,5783,5634,5886,5844,4722,4725,8138,2001070,7610,5977, 0007399;;;;;6q24;6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDH7A1;HS048596;0.0114;1445;242;0;531;55;16648;501;0005829,5759,5634,4029,8802,4043,6081,34641,19285,6554, 0007605;00053,280,10,260,310,330,340,380,410,620,71,561,1230,300,1100, 00640;;;;5q31;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRM1;HS038281;0.0113;5213;185;0;2120;78;16648;2911;0030425,38038,5887,5634,14069,4930,8066,187,186,8219,71257,7626,51930,19233, 0007268;04080,4720,4915,4723,4730,4540,4020, 04724;;;;6q24;6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNTNAP2;HS044739;0.0113;886;151;0;296;48;16648;26047;0030673,9986,30425,5769,5794,44224,43204,8076,7155,45163,7612,21761,31175,8038,71205,35176,21756,71109,21794,19226, 0071625;04514;;;;7q35;7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STXBP1;HS052822;0.0111;1520;207;0;414;51;16648;6812;0005829,5739,5886,31091,43234,42802,17075,7412,6112,14047,60292,43524,32229,7274,7269,70527,2576,45956,50821,15031,50796,10807,44281,16188, 0006904;04721;;;;9q34.1;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
