Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
GCK;HS044913;0.0180;11674;21;0;4031;4;510;2645;0005938, 0005829, 0005739, 0005654, 0030141, 0043531, 0005524, 0004340, 0005536, 0000287, 0070509, 0001678, 0042149, 0032869, 0044320, 0051594, 0007204, 0031018, 0006003, 0015758, 0005978, 0006096, 0006739, 0032811, 0045721, 0045725, 0045821, 0032024, 0042327, 0010827, 0006110, 0043266, 0019932, 0044281, 0055085;00010, 00052, 00524, 00520, 01200, 04910, 04917, 04950, 04930, 04911, 00500, 01100;;;;7p15.3-p15.1;7
NRXN1;HS085413;0.0169;805;14;0;267;2;510;9378;0044295, 0030054, 0009986, 0030139, 0016021, 0042734, 0005246, 0048306, 0050839, 0046872, 0097109, 0005102, 0001525, 0016339, 0045184, 0097112, 0097116, 0097117, 0007157, 0097114, 0051490, 0097118, 0007158, 0023041, 0007269, 0090004, 2000463, 0051965, 0090129, 0051968, 0097119, 0097104, 0097105, 0097120, 2000311, 2000310, 0035176, 0097091, 0005887, 0033130, 0005509, 0004872, 0030534, 0007411, 0007155, 0030198, 0007612, 0050885, 0060134, 2000821, 0071625;04514;;;;2p16.3;2
PTPRN2;HS051416;0.0160;1172;10;0;339;2;510;5799;0005788, 0005887, 0030141, 0043195, 0030658, 0005001, 0034260;04940;;;;7q36;7
SLC16A1;HS052586;0.0155;1377;2;0;379;2;510;6566;0016021, 0005739, 0005886, 0015130, 0015355, 0015293, 0007596, 0050900, 0006090;;;;;1p12;1
HNF4A;HS046240;0.0155;8002;3;0;2143;3;510;3172;0005737, 0005654, 0005504, 0004879, 0042803, 0005102, 0001102, 0001077, 0003705, 0043565, 0003707, 0044212, 0008270, 0007596, 0031018, 0042593, 0030522, 0006629, 0030308, 0008285, 0006591, 0055091, 2000189, 0010470, 0060398, 0050796, 0019216, 0009749, 0007548, 0023019, 0060395, 0006367, 0070328, 0006805;04950;;;;20q13.12;20
GABRA1;HS044417;0.0129;1273;2;0;737;2;510;2554;0030054, 0034707, 0005887, 0045211, 0005254, 0008144, 0005230, 0004890, 0007214, 0034220, 0051932;04080, 04727, 05032, 04723, 05033;;;;5q34;5
SLC2A3;HS038946;0.0124;2470;5;0;844;2;510;6515;0016021, 0005886, 0005355, 0019852;;;;;12p13.3;12
KCNN1;HS047147;0.0124;41;1;0;18;1;510;3780;0008076, 0015269, 0016286, 0007268;04911;;;;19p13.1;19
No mapping: HS055455;HS055455;0.0122;172;7;0;20;1;510;;;;;;;null;null
NEUROD1;HS048392;0.0120;2349;2;0;940;2;510;4760;0005737, 0005654, 0003682, 0003690, 0070888, 0046982, 0001105, 0043565, 0003700, 0035881, 0009952, 0071333, 0021549, 0021542, 0048562, 0031018, 0035883, 0042593, 0048839, 0030073, 0046426, 2000675, 0007263, 0006913, 0003326, 0003329, 0043065, 0045666, 0051091, 2000679, 0071156, 0050796, 0060730, 0042493, 0009749, 0023019;04950;;;;2q32;2
UCP2;HS053298;0.0112;3615;2;0;1160;2;510;7351;0016021, 0005743, 0032869, 0006839, 0015992, 0022904, 0070542, 0009749, 0001666, 0000303, 0044281;;;;;11q13;11
SLC1A3;HS052462;0.0108;3908;2;0;1277;2;510;6507;0042995, 0009986, 0043205, 0016021, 0043025, 0005886, 0016595, 0005314, 0005313, 0017153, 0031223, 0048667, 0021545, 0070779, 0009449, 0006537, 0051938, 0050885, 0001504, 0050806, 0046677, 0042493, 0009416, 0009611, 0007605;04724;;;;5p13;5
HNF1B;HS052922;0.0107;3631;6;0;1296;2;510;6928;0005634, 0005667, 0003677, 0003705, 0043565, 0003700, 0044212, 0009952, 0048754, 0048557, 0031018, 0001714, 0050673, 0048806, 0061017, 0030902, 0001826, 0030073, 0001822, 0072181, 0043066, 0000122, 0045944, 0060261, 0045893, 0039020, 0072095, 0042663, 0035565, 0030111, 0009749, 0060677;04950;;;;17q12;17
SLC2A4;HS052486;0.0103;18167;4;0;5221;3;510;6517;0030136, 0005905, 0030659, 0012505, 0009897, 0070062, 0032593, 0005887, 0005771, 0048471, 0042383, 0030140, 0012506, 0055056, 0005355, 0010021, 0050873, 0005975, 0032869, 0071470, 0042593, 0046323, 0045471, 0044281;04910, 04930, 04920;;;;17p13;17
DGKH;HS042394;0.0101;201;1;0;57;1;510;160851;0005768, 0031965, 0005886, 0005524, 0004143, 0046872, 0003951, 0005543, 0035556, 0030168, 0007205, 0051259;00561, 00564, 01100, 04070;;;;13q14.11;13
KCNN2;HS047148;0.0101;131;1;0;59;1;510;3781;0016021, 0005886, 0016286, 1901379, 0007268;04976, 04911, 04726;;;;5q22.3;5
LETM1;HS047607;0.0098;266;8;0;68;1;510;3954;0016021, 0005743, 0005509, 0042407;;;;;4p16.3;4
GLIS3;HS042615;0.0097;304;2;0;71;1;510;169792;0005634, 0003677, 0046872, 0003700, 0000122, 0045944, 0006366;;;;;9p24.2;9
No mapping: HS056563;HS056563;0.0096;237;1;0;73;1;510;;;;;;;null;null
SIL1;HS052181;0.0094;266;1;0;82;1;510;64374;0005783, 0005788, 0051082, 0006886, 0006457;04141;;;;5q31;5
ARHGEF9;HS043861;0.0094;276;6;0;83;1;510;23229;0005829, 0005543, 0005089, 0097190, 0034220, 0048011, 0043065, 0035023, 0051056, 0007264, 0007268;;;;;Xq11.1;X
ARFIP2;HS044186;0.0092;217;1;0;91;1;510;23647;0005938, 0005886, 0001726, 0005525, 0030742, 0048365, 0030036, 0006928, 0030032, 0031529, 0007264;;;;;11p15;11
POLG2;HS040406;0.0092;185;2;0;92;1;510;11232;0000262, 0003887, 0003697, 0006281, 0006261;01100;;;;17q;17
KCNK1;HS047139;0.0091;247;2;0;96;1;510;3775;0016324, 0031526, 0005768, 0008076, 0005242, 0035094, 0007268;;;;;1q42-q43;1
No mapping: HS047418;HS047418;0.0090;235;1;0;103;1;510;;;;;;;null;null
GALR3;HS055213;0.0089;235;1;0;109;1;510;8484;0016021, 0005886, 0004966, 0007631, 0007611, 0007194;04080;;;;22q13.1;22
KCNK4;HS048685;0.0088;274;2;0;110;1;510;50801;0016021, 0005886, 0005267, 0005244, 0007268;;;;;11q13;11
ICA1;HS046446;0.0088;402;10;0;111;1;510;3382;0030054, 0005829, 0000139, 0005634, 0030667, 0030672, 0030658, 0006836;04940;;;;7p22;7
ARHGAP32;HS070302;0.0088;274;6;0;115;1;510;9743;0015629, 0005938, 0030054, 0005829, 0043197, 0005789, 0010008, 0000139, 0014069, 0045211, 0005096, 0035091, 0043547, 0051056, 0007264;;;;;11q24.3;11
KCNK10;HS049542;0.0088;388;2;0;115;1;510;54207;0016021, 0005886, 0005267, 0005244, 0007165, 0007268;04971;;;;14q31.3;14
CTDP1;HS056092;0.0087;443;2;0;117;1;510;9150;0015629, 0005813, 0005737, 0030496, 0005654, 0051233, 0000922, 0008420, 0003899, 0051301, 0010458, 0050434, 0006470, 0006368, 0016032;;;;;18q23;18
MT-CYB;HS085713;0.0086;257;1;0;125;1;510;4519;0016021, 0005750, 0009055, 0046872, 0008121, 0006122, 0044281;00190, 01100, 04260, 05016, 04932, 05010, 05012;;;;;placenta
NNAT;HS048443;0.0084;540;10;0;138;1;510;4826;0005737, 0007420, 0030182, 0032024, 0009249, 0032880, 0009749, 0006810;;;;;20q11.2-q12;20
No mapping: HS039482;HS039482;0.0084;507;1;0;140;1;510;;;;;;;null;null
ALMS1;HS053598;0.0082;368;3;0;149;1;510;7840;0005813, 0005929, 0005829, 0005932, 0000922, 0016197, 0000086;;;;;2p13;2
GPR119;HS041606;0.0082;439;3;0;153;1;510;139760;0016021, 0005886, 0004930, 0031210, 0030073;04911;;;;Xq26.1;X
DDN;HS043758;0.0081;403;1;0;159;1;510;23109;0042995, 0005737, 0032591, 0005789, 0005634, 0043204;;;;;12q13.12;12
