Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
SERPINA1;HS049338;2.9709;37019;11;0;13474;5;9;5265;0005615, 0031093, 0005578, 0004867, 0006953, 0030168, 0002576, 0030162, 0046687, 0034097, 0032355, 0001666, 0010288, 0032496, 0033986, 0034014;04610;;;;14q32.1;14
SERPINI1;HS049348;0.8667;926;4;0;232;1;9;5274;0005615, 0004867, 0007417, 0007422, 0030155, 0030162;;;;;3q26.1;3
HSD17B6;HS055506;0.7960;950;1;0;438;1;9;8630;0031901, 0005783, 0005622, 0009055, 0004303, 0016491, 0004745, 0047035, 0006702, 0006710;00140, 00830, 01100;;;;12q13;12
AURKA;HS052810;0.6688;3974;1;0;1377;1;9;6790;0005829, 0030496, 0005634, 0048471, 0005876, 0031616, 0005524, 0004674, 0004712, 0031145, 0051301, 0030030, 0007067, 0032091, 0048015, 0045840, 0046777, 0046605, 0031647, 0007051, 0043146;04114;;;;20q13;20
CSK;HS041796;0.6608;3187;1;0;1479;1;9;1445;0005911, 0005813, 0005829, 0005794, 0045121, 0005886, 0005524, 0004715, 0008022, 0004713, 0034332, 0007420, 0071375, 0007173, 0045779, 0008285, 0070373, 0042997, 0032715, 0033673, 0010989, 0050765, 0048709, 0030168, 0043406, 0046777, 0060368, 0031295, 0050852;05120;;;;15q24.1;15
SERPINA3;HS040873;0.6095;6704;1;0;2348;1;9;12;0005576, 0005615, 0005634, 0003677, 0004867, 0006953, 0006954, 0030277, 0019216, 0030162;;;;;14q32.1;14
HAMP;HS051383;0.5869;13256;1;0;2878;1;9;57817;0045179, 0005576, 0006879, 0042742, 0050832, 0006955, 0031640;;;;;19q13.1;19
PLAT;HS049391;0.3796;57643;1;0;18587;1;9;5327;0045177, 0009986, 0005737, 0005576, 0005615, 0030141, 0045202, 0004252, 0007596, 0006464, 0042730, 0045861, 0031639, 0048008, 0060279, 0006508, 0048167, 0051591, 0051384, 0001666, 0043434, 0014909, 0035249;05202, 04610;;;;8p12;8
INS;HS046933;0.0808;925549;1;0;273579;1;9;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
