Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
GSK3B;HS045935;0.0144;22162;2;0;7415;2;241;2932;0030877, 0005813, 0005829, 0043198, 0043197, 0030426, 0045121, 0043025, 0005634, 0048471, 0005886, 0030529, 0005524, 0002039, 0004674, 0050321, 0007411, 0060070, 0044337, 0016477, 0036016, 0007623, 0007173, 0001837, 0006983, 0030010, 0097192, 0045444, 0038095, 0008543, 0005977, 0021766, 0044027, 0045087, 0007520, 0043066, 0090090, 0050774, 2000466, 0045719, 0043407, 0051534, 0032091, 0031333, 0045892, 2000077, 0048011, 0009887, 0018105, 0048015, 0001954, 1901030, 0033138, 0010800, 0032092, 0045732, 0031334, 0046827, 0032855, 2000738, 0045944, 0006611, 0035372, 0000320, 0006349, 0032886, 0048168, 0042493, 0010226, 0071109;04012, 04062, 04722, 04916, 05210, 04340, 05217, 04932, 04390, 04151, 05160, 05164, 05169, 05162, 04110, 04660, 04360, 04510, 04310, 05213, 05200, 04910, 05166, 04728, 05215, 04917, 04662, 05010;;;;3q13.3;3
ENO2;HS043061;0.0143;18935;2;0;7505;2;241;2026;0005829, 0043204, 0000015, 0001917, 0005886, 0000287, 0004634, 0006094, 0006096, 0044281;01230, 04066, 03018, 00010, 01100, 01200;;;;12p13;12
MAPK10;HS050629;0.0143;1637;7;0;669;1;241;5602;0005829, 0005739, 0005654, 0005886, 0005524, 0004705, 0004708, 0038095, 0045087, 0002755, 0051090, 0034166, 0034134, 0034138, 0034142, 0034146, 0034162, 0038123, 0038124, 0035666;05132, 05120, 04910, 04914, 04622, 04920, 04728, 04932, 04723, 04917, 04620, 05160, 04010, 05152, 05133, 05200, 05131, 05164, 05161, 04621, 05142, 05210, 05212, 05168, 04930, 05169, 05145, 04141, 04510, 04014, 04012, 04310, 04668, 04664, 04722, 04380, 04912;;;;4q22.1-q23;4
BDKRB2;HS051850;0.0143;1667;2;0;672;1;241;624;0005768, 0005887, 0004947, 0004435, 0050482, 0007204, 0006954, 0043066, 0033137, 0043114, 0019229, 0009651, 0006939, 0007169, 0042310, 0042311;04961, 04020, 04810, 04610, 05142, 04080;;;;14q32.1-q32.2;14
ODC1;HS048554;0.0143;32298;3;0;7577;2;241;4953;0005829, 0004586, 0001822, 0006596, 0008284, 0033387, 0006521, 0009615, 0044281;00480, 00330, 01100;;;;2p25;2
PDIA3;HS045930;0.0142;2123;2;0;683;1;241;2923;0009986, 0005788, 0042470, 0004197, 0004629, 0003756, 0015035, 0002479, 0045454, 0006662, 0043065, 0043687, 0006606, 0018279, 0006621, 0007165;04141, 04612;;;;15q15;15
GRM3;HS038283;0.0142;1411;1;0;694;1;241;2913;0030424, 0043197, 0005887, 0014069, 0045211, 0042734, 0005246, 0004930, 0008066, 0001641, 0007194, 0050804, 0007268;04080, 04724, 05030;;;;7q21.1-q21.2;7
CD28;HS056442;0.0139;19895;2;0;7916;2;241;940;0005829, 0009897, 0005887, 0015026, 0042802, 0005070, 0097190, 0042089, 0007173, 0038095, 0008543, 0006959, 0045087, 0045060, 0048011, 0048015, 0046641, 0002863, 0045086, 0048304, 0045840, 0042102, 0045944, 0045727, 0045070, 0050690, 0045066, 0031295, 0016032;05416, 04660, 05323, 04672, 04940, 05320, 05162, 04514, 05332, 05322, 05330;;;;2q33;2
MT-ND6;HS085720;0.0138;1089;1;0;758;1;241;4541;0016021, 0005747, 0008137, 0006120, 0044281;05012, 01100, 00190;;;;;placenta
HPR;HS046329;0.0138;2265;12;0;769;1;241;3250;0034366, 0003824, 0030492, 0008152;05143;;;;16q22.1;16
MT-ND5;HS085719;0.0137;1256;1;0;782;1;241;4540;0016021, 0005747, 0008137, 0006120, 0044281;01100, 00190, 05012;;;;;placenta
UROD;HS053323;0.0136;2800;2;0;792;1;241;7389;0005829, 0015630, 0005634, 0004853, 0006783, 0006782, 0044281;01100, 00860;;;;1p34;1
NPC1;HS048474;0.0136;2988;1;0;792;1;241;4864;0005783, 0005576, 0005794, 0005887, 0031902, 0005765, 0045121, 0005635, 0048471, 0031982, 0015485, 0008158, 0015248, 0004888, 0007628, 0006914, 0008206, 0071404, 0071383, 0033344, 0042632, 0008203, 0006897, 0007041, 0016242, 0006486, 0042493;04142;;;;18q11.2;18
