Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
OPRM1;HS048577;0.0200;16031;2;0;5957;1;105;4988;0005783, 0005794, 0005887, 0004979, 0001965, 0038047, 0005245, 0007191, 0007193, 0048149, 0033554, 0007204, 0007187, 0007626, 0007194, 0043951, 0008285, 0045019, 0061358, 0007200, 0043950, 0070374, 0050769, 0045429, 0051481, 0050795, 2000310, 0019233;04080, 04915, 05032;;;;6q24-q25;6
HBG2;HS9090580;0.0199;10067;2;0;5989;1;105;3048;0005829, 0005833, 0020037, 0005506, 0019825, 0005344, 0007596;;;;;11p15.5;11
MMP3;HS048018;0.0199;17517;1;0;6015;1;105;4314;0005615, 0043231, 0005578, 0005509, 0004222, 0008270, 0071230, 0030574, 0022617, 0006508, 0030334;04668, 05323, 05202;;;;11q22.3;11
VDR;HS053347;0.0195;26030;2;0;6249;1;105;7421;0005654, 1902098, 0008434, 0003677, 1902121, 0038186, 0043565, 0003707, 0008270, 0006816, 0000902, 0006874, 0046697, 0050892, 0007595, 0060745, 0010839, 0000122, 0009887, 0060058, 0045618, 0045944, 0010980, 0060558, 0001501, 0006367;04961, 04978, 05152;;;;12q13.11;12
IL1RN;HS046861;0.0181;24097;2;0;7235;1;105;3557;0005813, 0005737, 0005615, 0005634, 0005886, 0031982, 0005152, 0005149, 0045352, 0045353, 0006953, 0002439, 0007565, 0006955, 0030073, 0006629, 0007613, 0043066, 0014050, 0034115, 2000660, 0043507, 0042493, 0051384, 0010243;;;;;2q14.2;2
SNCA;HS052659;0.0181;27764;1;0;7269;1;105;6622;0015629, 0030424, 0005938, 0030054, 0030659, 0005829, 0043205, 0005794, 0030426, 0016234, 0005739, 0005640, 0005634, 0048471, 0005886, 0005840, 0005791, 0008021, 0043195, 0005509, 0005507, 0043027, 0008198, 0042393, 0000287, 0016491, 0005543, 0051219, 0048156, 0008270, 0006919, 0008344, 0007568, 0048148, 0071280, 0071872, 0044344, 0034599, 0042416, 0051583, 0043206, 0006631, 0060291, 0001774, 0042775, 0007006, 0043066, 0045963, 0051585, 0045920, 0035067, 0031115, 0032769, 0043524, 0051622, 0010642, 0001933, 0051612, 0070495, 0032410, 0006638, 0006644, 0045807, 0060732, 0001956, 0033138, 0071902, 0001921, 0051281, 0031648, 0031623, 0050812, 0014059, 0060079, 0014048, 0040012, 0048169, 0043030, 0010517, 0042493, 0034341, 0070555, 0010040, 0032496, 0032026, 0050808, 0048488;05010, 05012;;;;4q21;4
NOS1;HS048456;0.0175;29221;3;0;7756;1;105;4842;0005856, 0005829, 0043197, 0048471, 0001917, 0043234, 0042383, 0016529, 0045202, 0034618, 0046870, 0050660, 0010181, 0020037, 0044325, 0005506, 0050661, 0003958, 0004517, 0097110, 0017080, 0034617, 0006527, 0007596, 0071363, 0042738, 0051701, 0033555, 0007520, 0045776, 0010523, 0051346, 0043267, 0051612, 0042136, 0006809, 0007263, 0018119, 0090382, 0031284, 0035066, 1902307, 0045944, 0045909, 0055117, 0009408, 0001666, 0006941;04730, 01100, 04145, 00330, 04713, 05014, 05010, 04970, 04020;;;;12q24.22;12
CTSB;HS042096;0.0173;18678;7;0;7876;1;105;1508;0036021, 0005615, 0042470, 0005739, 0005730, 0048471, 0004197, 0097067, 0030574, 0022617, 0045087, 0006508, 0042981, 0050790, 0002224;04142, 04612;;;;8p22;8
MS4A1;HS056334;0.0172;13239;1;0;7975;1;105;931;0009897, 0005887, 0005730, 0042113, 0006955;04640;;;;11q12;11
PTGS1;HS051131;0.0169;21040;1;0;8265;1;105;5742;0005789, 0005634, 0001750, 0051213, 0020037, 0046872, 0004601, 0004666, 0019371, 0008217, 0042127, 0006979, 0006805;01100, 04726, 00590;;;;9q32-q33.3;9
CXCR4;HS053606;0.0154;33274;1;0;9627;1;105;7852;0031252, 0009986, 0016023, 0005769, 0009897, 0030426, 0016021, 0005770, 0005764, 0005886, 0003779, 0016494, 0015026, 0032027, 0043130, 0001618, 0000187, 0001667, 0006915, 0007420, 0019722, 0002407, 0007204, 0030260, 0007281, 0008354, 0006954, 0019048, 0008045, 0043217, 0061351, 0001764, 0042119, 0001569, 0048714, 0030334, 0050920, 0001666, 0009615, 0042098, 0016032;04062, 04144, 04060, 04360, 04672, 04670;;;;2q21;2
SOD1;HS052683;0.0136;41301;1;0;11612;1;105;6647;0031410, 0005829, 0032839, 0031012, 0005615, 0005759, 0043025, 0005634, 0005777, 0043234, 0005507, 0042803, 0030346, 0048365, 0004784, 0008270, 0000187, 0008089, 0006309, 0060088, 0007569, 0006879, 0006302, 0007566, 0006749, 0060047, 0050665, 0007626, 0046716, 0002262, 0045541, 0043524, 0060052, 0001541, 0032287, 0001890, 0030168, 0002576, 0043065, 0001819, 1902177, 0032930, 0008217, 0051881, 0040014, 0046620, 0032314, 0033081, 0060087, 0019430, 0001975, 0048678, 0046688, 0042493, 0045471, 0009408, 0042542, 0031667, 0001895, 0008090, 0007605, 0007283, 0042554, 0048538;04146, 05016, 05014, 05020;;;;21q22.11;21
IL17A;HS046911;0.0124;41620;10;0;13202;1;105;3605;0009897, 0005615, 0005125, 0006915, 0007267, 0071347, 0072537, 0006955, 0006954, 1900017, 0032747, 0045672, 0045944, 0006486;04060, 05321, 05323;;;;6p12;6
TLR4;HS053048;0.0114;52336;7;0;14593;1;105;7099;0010008, 0009897, 0005887, 0046696, 0048471, 0001530, 0001875, 0004888, 0000187, 0002322, 0071223, 0071260, 0050829, 0016046, 0032497, 0007252, 0045087, 0032609, 0060729, 0042116, 0002755, 0070373, 0032689, 0032700, 0032707, 0032715, 0045671, 0032720, 0002537, 0030890, 0032722, 0070374, 0043123, 0050729, 0032727, 0045359, 0032728, 0032729, 0032732, 0032733, 0045084, 0032735, 0032755, 0045416, 0032757, 0046330, 0060907, 0045348, 0042346, 0051092, 0045429, 0051770, 0070430, 0070434, 0010572, 0045944, 0042535, 0032760, 0050707, 0042088, 0034134, 0034138, 0034142, 0038123, 0038124, 0035666;04151, 04066, 04620, 05132, 05130, 05133, 05134, 05142, 05144, 04145, 05152, 04064, 05146, 05145, 05161, 05162, 05164, 05205, 05140, 05323, 05321;;;;9q33.1;9
PCNA;HS048824;0.0098;52334;1;0;17405;1;105;5111;0005737, 0005663, 0015630, 0043596, 0005654, 0043626, 0070557, 0032139, 0030337, 0032405, 0000701, 0006284, 0008283, 0006271, 0007507, 0006298, 0006297, 0048015, 0032077, 0006275, 0000083, 0046686, 0033993, 0000722, 0032201, 0006283, 0019985;03030, 03410, 03430, 04110, 05161, 05166, 03420;;;;20pter-p12;20
BDNF;HS051865;0.0093;87549;1;0;18189;1;105;627;0005576, 0048471, 0008021, 0008083, 0007411, 0007412, 0001662, 0002544, 0016358, 0007631, 0014047, 0048839, 0007611, 0042490, 0006120, 0007406, 0043524, 0045843, 0021675, 0007399, 0008038, 0048170, 0045666, 0051965, 0060079, 0019222, 0046668, 0048172, 0072347, 0014076, 0009725, 0055093, 0001666, 0033189, 0001657;05030, 05016, 05034, 04722, 04010;;;;11p13;11
PLAT;HS049391;0.0091;57643;1;0;18587;1;105;5327;0045177, 0009986, 0005737, 0005576, 0005615, 0030141, 0045202, 0004252, 0007596, 0006464, 0042730, 0045861, 0031639, 0048008, 0060279, 0006508, 0048167, 0051591, 0051384, 0001666, 0043434, 0014909, 0035249;05202, 04610;;;;8p12;8
VEGFA;HS053348;0.0088;246475;4;0;61279;2;105;7422;0009986, 0005615, 0016020, 0031093, 0005578, 0042056, 0005125, 0050840, 0001968, 0008083, 0008201, 0046982, 0042803, 0032147, 0002575, 0048593, 0048739, 0060948, 0048469, 0002042, 0071679, 0060982, 0003169, 0071542, 0035767, 0030855, 0042462, 0040007, 0001701, 0050930, 0001822, 0007595, 0030324, 0036303, 0030225, 0060749, 0007498, 0030224, 0043066, 0043154, 0000122, 0003151, 0001541, 0001569, 0030168, 0002576, 0048842, 0090190, 0051781, 0090050, 0038091, 0032793, 0038033, 0001938, 0051894, 1901727, 0002687, 0043406, 0060754, 0002053, 0002052, 1900745, 0033138, 1900086, 0031954, 0031334, 0090037, 0002092, 1902336, 0045944, 0061419, 0030949, 0043117, 0031077, 0060319, 0008360, 0043129, 0035148, 0001570;05200, 05212, 04066, 04060, 05219, 05323, 04510, 05211, 04370, 04015, 04151, 05206, 05205, 04150, 04014;;;;6p12;6
F3;HS043201;0.0087;25476;1;0;19537;1;105;2152;0031012, 0005615, 0016021, 0031233, 0005543, 0002543, 0006919, 0002541, 0007598, 0045766, 0030335, 0001938, 0010641, 0050927, 0051897;04610;;;;1p22-p21;1
GPT;HS045753;0.0084;23777;1;0;20094;1;105;2875;0005829, 0004021, 0030170, 0008652, 0034641, 0006094, 0042853;01210, 00250, 01230, 01100;;;;8q24.3;8
ACHE;HS048007;0.0059;78123;1;0;26225;1;105;43;0031225, 0030424, 0005605, 0030054, 0009986, 0030425, 0005788, 0005615, 0005794, 0031594, 0005634, 0048471, 0045211, 0042734, 0042166, 0003990, 0001540, 0004091, 0005518, 0043236, 0042803, 0017171, 0001507, 0042982, 0007155, 0008283, 0019695, 0006260, 0007517, 0032223, 0042136, 0045212, 0002076, 0006656, 0050714, 0051262, 0031623, 0050770, 0048814, 0001919, 0009611, 0060041, 0007416;00564, 04725;;;;7q22;7
NFKB1;HS048412;0.0058;233084;3;0;71606;2;105;4790;0005829, 0033256, 0005739, 0005654, 0003690, 0003700, 0008134, 0000976, 0006915, 0071347, 0071260, 0038095, 0006954, 0045087, 0031293, 0002755, 0043066, 0010956, 0032269, 0032375, 0001818, 0050728, 0045083, 0000122, 0010957, 0048011, 0090263, 1900127, 0010884, 0010744, 0051092, 0045944, 0045893, 0032481, 0009617, 0046688, 0006979, 0050852, 0034166, 0034134, 0034138, 0034142, 0034146, 0034162, 0038123, 0038124, 0006366, 0035666;05133, 05132, 04920, 04668, 04622, 04062, 04621, 04620, 05134, 04722, 05160, 05166, 05168, 05169, 04932, 05145, 04623, 05164, 05202, 05203, 05131, 05206, 05212, 04660, 05140, 05215, 05200, 04662, 05220, 04014, 04917, 05162, 05222, 05146, 05221, 05161, 05030, 05321, 05142, 05120, 05152, 04064, 04010, 04151, 04210, 04066, 04380;;;;4q24;4
GPX1;HS045759;0.0055;62542;3;0;27334;1;105;2876;0005829, 0005739, 0004866, 0004602, 0060055, 0019369, 0043534, 0045454, 0001885, 0045444, 0006749, 0060047, 0042744, 0051702, 0008631, 0019372, 0051450, 0014902, 0043066, 0043154, 1902042, 0002862, 0090201, 0051897, 0018158, 0006144, 0006195, 0040029, 0033599, 0043523, 0061136, 0010332, 0033194, 0010269, 0009609, 0009636, 0009410, 0007605, 0048741, 0043403, 0001659, 0006641, 0009650, 0042311;00480, 04918, 05014, 00590, 05016;;;;3p21.3;3
EPO;HS043128;0.0053;101949;14;0;27838;1;105;2056;0009986, 0005615, 0030295, 0007568, 0006915, 0008015, 0071474, 0007566, 0043249, 0042541, 0010523, 2001258, 1902251, 1902219, 0018105, 0008284, 0045740, 0045666, 0046579, 0045893, 0042523, 0061418, 0048678, 0051602, 0043627, 0055093, 0070555, 0032496, 0009651, 0033574, 0033189, 0007165;04060, 04151, 04066, 04630, 04640;;;;7q22;7
CD8A;HS056257;0.0043;62013;1;0;30799;1;105;925;0009897, 0005576, 0005887, 0042101, 0015026, 0042288, 0019882, 0045065, 0051607, 0006955, 0050850, 0050776, 0042110, 0002456, 0007169;04660, 04640, 04514, 05340, 04612;;;;2p12;2
NGF;HS048426;0.0040;95576;7;0;31757;1;105;4803;0005768, 0005576, 0005615, 0005796, 0005057, 0000186, 0007202, 0008344, 0008625, 0006954, 0007613, 0043066, 0045786, 0043524, 0032455, 0031175, 0048011, 0007422, 0048015, 0043065, 0045773, 0050772, 0010628, 0045666, 0051388, 0031954, 0051091, 2000648, 0007265, 0043281, 0046928, 0042493, 0051602, 0051384, 0032496, 0009612, 0035094, 0010193, 0043434, 0009314, 0019233;04010, 04014, 04210, 04722, 04151, 04015;;;;1p13.1;1
HBA2;HS046132;0.0034;45979;1;0;33862;1;105;3039, 3040;0022627, 0071682, 0005576, 0031838, 0005833, 0020037, 0005506, 0019825, 0005344, 0015701, 0042744, 0015671, 0010942, 0051291, 0044281;05143, 05144;;;;16p13.3;16
PIK3CG;HS049364;0.0032;59094;1;0;34767;1;105;5294;0005944, 0005886, 0016303, 0035005, 0005524, 0046934, 0004672, 0004674, 0002250, 0001525, 0001816, 0002407, 0007204, 0006897, 0007186, 0097284, 0006954, 0045087, 0043303, 0035747, 0043066, 0055118, 0010897, 0030593, 0072672, 0014065, 0070527, 0002675, 0043406, 0051897, 0033628, 0002679, 0032252, 0044281, 0010818, 0042098;05145, 05146, 04370, 04668, 05169, 05142, 04973, 04960, 04930, 04261, 04915, 04914, 04910, 04670, 04725, 05200, 05100, 05212, 05205, 05211, 05213, 05214, 04510, 04932, 04722, 05203, 05220, 05161, 05164, 04917, 05162, 05215, 05160, 05166, 05218, 05221, 05210, 05222, 05223, 00562, 04012, 04014, 04015, 04062, 04066, 04070, 04150, 04151, 04210, 04380, 04620, 04630, 04650, 04660, 04664, 04666, 04662, 04810;;;;7q22.3;7
AVP;HS050003;0.0029;119445;1;0;35618;1;105;551;0005829, 0030425, 0005576, 0005615, 0030141, 0043027, 0005184, 0004672, 0004871, 0007267, 0007204, 0070371, 0006091, 0007625, 0042538, 0007626, 0002125, 0042711, 0050891, 0043066, 0007621, 0090201, 0051970, 0043084, 0030819, 0030307, 0008284, 0032849, 0010628, 0014049, 0033138, 0031394, 0003084, 0045907, 0070528, 0035813, 0045471, 0035094, 0035176, 0043252, 0055085, 0042310, 0006833;04962, 04080, 04270;;;;20p13;20
IL4;HS046869;0.0012;114594;1;0;42866;1;105;3565;0009897, 0005576, 0005615, 0008083, 0005136, 0031296, 0030183, 0006968, 0071288, 0006935, 0008203, 0045189, 0042832, 0097028, 0007565, 0006955, 0002227, 0002674, 0043066, 0002677, 0043031, 0045019, 0045671, 2000320, 0045892, 0042104, 0030890, 0045080, 0032733, 0032736, 0048295, 0048304, 0045348, 0051091, 0045582, 0042102, 0045944, 0042523, 0042325, 0010155, 0034097, 0042493, 0045471, 0007584, 0014070, 0002296, 0035745, 0045064;05310, 04060, 04672, 05140, 05162, 04630, 04151, 04664, 04660, 04640, 05320, 05321, 05330;;;;5q31.1;5
IL10;HS046884;0.0003;136039;1;0;47199;1;105;3586;0005615, 0005125, 0008083, 0005141, 0030183, 0042100, 0060670, 0007267, 0071392, 0071222, 0007253, 0042742, 0006954, 0030595, 0043066, 0030889, 0002875, 0002740, 0044130, 0045355, 0032689, 0032695, 0032715, 0051045, 0045347, 0030886, 0045019, 0042130, 0042536, 0032720, 0002904, 0050715, 0045348, 0051091, 0045944, 0045893, 0032800, 0045191, 0051930, 0014823, 0034465, 0042493, 0051384, 0014854, 0032868, 0042092;04630, 05140, 05143, 05144, 04060, 04660, 05145, 04672, 05150, 05310, 05320, 05133, 05152, 05169, 05142, 05322, 05146, 05330, 05321;;;;1q31-q32;1
CAT;HS055158;0.0001;109524;1;0;48190;1;105;847;0005829, 0005783, 0005794, 0005764, 0005758, 0005782, 0005778, 0005886, 0004046, 0004096, 0020037, 0046872, 0050661, 0042803, 0009060, 0071363, 0008203, 0020027, 0042744, 0042697, 0043066, 0032088, 0051781, 0051092, 0014068, 0051289, 0006144, 0006195, 0055093, 0001666, 0033197, 0006641, 0009650;00630, 04146, 00380, 05014;;;;11p13;11
CD4;HS056176;-0.0007;110110;2;0;52036;1;105;920;0005769, 0005788, 0005789, 0009897, 0016021, 0045121, 0042101, 0015026, 0005201, 0042289, 0042803, 0004888, 0008270, 0007155, 0001816, 0050829, 0030260, 0006948, 0045087, 0032507, 0050850, 0045086, 0050731, 0045860, 0045234, 0050690, 0031295, 0050852, 0045058, 0007169;04640, 04514, 05340, 04660, 04612;;;;12p13.31;12
IL1B;HS046858;-0.0058;276281;2;0;89255;1;105;3553;0005829, 0005615, 0030141, 0005125, 0005149, 0000187, 0006915, 0007267, 0035690, 0071260, 0071407, 0019221, 0007566, 0001660, 0030213, 0006955, 0006954, 0032611, 0031663, 0000165, 0070487, 0070164, 0008285, 2001240, 0010829, 0046627, 0050995, 0043407, 0030593, 0045766, 0060559, 0060355, 0051781, 0045080, 0031622, 0032725, 0034116, 0035066, 0033129, 0043123, 0032729, 0045086, 0045410, 0032755, 0032757, 0046330, 0050996, 0051044, 0045840, 0071639, 0035505, 0042346, 0051092, 0045429, 0032308, 0046827, 0002711, 0042102, 0045944, 0045893, 0030949, 0010575, 0043491, 0050796, 0033198, 0030730, 0014805;05146, 05144, 05142, 05133, 05132, 04932, 05152, 05164, 05168, 05162, 04623, 04010, 05321, 05332, 05323, 04940, 04668, 04620, 04621, 04380, 04060, 05134, 05010, 05143, 04210, 05020, 04064, 04640, 05140;;;;2q14;2
ALB;HS043183;-0.0064;179874;2;0;95271;1;105;213;0005604, 0005615, 0070062, 0031093, 0043234, 0016209, 0005507, 0003677, 0008144, 0005504, 0030170, 0015643, 0008270, 0015721, 0008206, 0009267, 0019836, 0042157, 0051659, 0043066, 0030168, 0002576, 0046010, 0046689, 0007584, 0010033, 0070541, 0043252, 0055085;;;;;4q13.3;4
INS;HS046933;-0.0180;925549;3;0;273579;3;105;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
