Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
ABCB7;HS043315;0.0065;989;1;0;593;1;454;22;0016021, 0005743, 0005524, 0042626, 0015232, 0006879;02010;;;;Xq13.3;X
PANX1;HS044241;0.0065;2348;10;0;596;1;454;24145;0032059, 0005783, 0005789, 0005921, 0016021, 0005886, 0043234, 0005262, 0055077, 0022840, 0045087, 0035872, 0050717, 0050718, 0034214, 0033198, 0002931, 0007268;;;;;11q21;11
KCNIP3;HS046168;0.0064;1745;1;0;612;1;454;30818;0005829, 0005783, 0005794, 0005634, 0005886, 0005509, 0003677, 0005267, 0015459, 0003714, 0005244, 0006915, 0007610, 0006886, 0000122, 0043523, 0006357, 0048265, 0019233, 0007165, 0006351;;;;;2q21.1;2
KCNC1;HS047042;0.0064;1772;1;0;614;1;454;3746;0008076, 0005251, 0051260, 0007268;;;;;11p15;11
ADRA1D;HS041847;0.0063;1348;1;0;641;1;454;146;0005887, 0004937, 0007188, 0008283, 0007267, 0006259, 0007275, 0001986, 0001994, 0008284;04020, 04080, 04270, 04970, 04261;;;;20p13;20
PROK2;HS051725;0.0063;1924;3;0;652;1;454;60675;0005576, 0001664, 0000187, 0001525, 0008283, 0006935, 0007623, 0007204, 0007186, 0006954, 0043066, 0007218, 0045987, 0019233, 0007283;;;;;3p13;3
KCND2;HS047078;0.0063;1948;2;0;653;1;454;3751;0009986, 0043197, 0005886, 0008076, 0005250, 0046872, 0051260, 0001508, 0007268;04726;;;;7q31;7
GABBR1;HS044394;0.0062;1600;2;0;671;1;454;2550;0030054, 0005737, 0030425, 0005576, 0038039, 0005887, 0045211, 0042734, 0004965, 0007193, 0007214, 0007194, 0007268;04080, 04915, 04727, 05032;;;;6p21.31;6
SERPINE1;HS048646;0.0061;57734;5;0;13384;3;454;5054;0031012, 0005615, 0005886, 0031093, 0004867, 0001525, 0071222, 0001300, 0050829, 0030198, 0042730, 0033629, 2000352, 1902042, 0051918, 0010757, 0014912, 2000098, 0061044, 0030168, 0002576, 0045766, 0032757, 0035491, 0090026, 0048260, 0045944, 0042127, 0010469, 0006367, 0007179;04610, 04390, 05142, 04115, 04066;;;;7q22.1;7
KCND1;HS047073;0.0060;844;1;0;731;1;454;3750;0030425, 0005886, 0008076, 0005251, 0046872, 0051260, 0007268;;;;;Xp11.23;X
