Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
BMP6;HS052551;0.1816;3522;2;0;908;1;29;654;0005737, 0005615, 0031988, 0046982, 0030509, 0051216, 0001958, 0001654, 0040007, 0006955, 0006954, 0001822, 0030539, 0001649, 0032349, 0030501, 2000105, 0045603, 0001938, 0050679, 0045666, 0045669, 0010862, 0050714, 0045944, 0051384, 0032526, 0001501, 0060395, 0003323;04390, 04350, 04913;;;;6p24-p23;6
CSPG4;HS041863;0.1734;3013;2;0;1152;1;29;1464;0016324, 0009986, 0005576, 0005796, 0005887, 0031258, 0043202, 0004871, 0000187, 0001525, 0005975, 0008283, 0030206, 0030207, 0030208, 0008347, 0035556, 0050731, 0048771, 0007169;;;;;15q24.2;15
AIF1;HS042925;0.1705;2765;1;0;1250;1;29;199;0005856, 0005829, 0030027, 0005634, 0048471, 0001891, 0032587, 0051015, 0005509, 0051017, 0030041, 0071346, 0006954, 0001774, 0071672, 0048662, 0006911, 1900087, 0090026, 0071673, 0048661, 2000406, 0042102, 0016601, 0097178;;;;;6p21.3;6
SNRPN;HS038976;0.1682;3149;1;0;1339;1;29;6638;0030532, 0005681, 0005685, 0005686, 0003723, 0009725, 0008380;;;;;15q11.2;15
SLC1A2;HS052459;0.1593;6312;9;0;1733;1;29;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
CYP2B6;HS042258;0.1579;5507;1;0;1803;1;29;1555;0005789, 0020037, 0005506, 0004497, 0016712, 0042180, 0042738, 0008202, 0006805;00982, 00980, 00830, 00590;;;;19q13.2;19
GOT2;HS045311;0.1574;2960;1;0;1829;1;29;2806;0005743, 0005759, 0005886, 0016212, 0004069, 0080130, 0030170, 0006103, 0019470, 0006532, 0006533, 0008652, 0034641, 0015908, 0006094, 0019551, 0019550, 0006536, 0006107, 0045471;00250, 00270, 00330, 00400, 01100, 01210, 01230, 04975, 00360, 00350;;;;16q21;16
MTR;HS038568;0.1573;4607;6;0;1837;1;29;4548;0005829, 0031419, 0008898, 0008705, 0008270, 0034641, 0009235, 0032259, 0007399, 0042558, 0000096, 0006805;00670, 00450, 01230, 01100, 00270;;;;1q43;1
RBFOX3;HS085126;0.1469;3588;1;0;2482;1;29;146713;0005737, 0043025, 0005634, 0003677, 0000166, 0003723, 0006397, 0000381, 0008380;;;;;17q25.3;17
MAOA;HS047865;0.1350;10246;1;0;3506;1;29;4128;0016021, 0005741, 0008131, 0007610, 0006576, 0042420, 0042136, 0042135, 0007269, 0044281, 0006805;00330, 00260, 00982, 01100, 00340, 00380, 05031, 04726, 05034, 04728, 05030, 00350, 00360;;;;Xp11.3;X
SETMAR;HS052103;0.1322;4064;1;0;3796;1;29;6419;0005694, 0005634, 0004519, 0018024, 0043566, 0004803, 0008270, 0000737, 0000729, 0015074, 0071157, 2001251, 2001034, 0006313;00310;;;;3p26.1;3
HTR3A;HS038348;0.1307;10021;6;0;3973;1;29;3359;0030424, 0030054, 0005737, 0005887, 0043025, 0045211, 0051378, 0004993, 0005232, 0005249, 0071363, 0007586, 0042220, 0007268;04726;;;;11q23.1;11
CYP2D6;HS042265;0.1221;17584;1;0;5091;1;29;1565;0005789, 0005739, 0070330, 0008144, 0020037, 0005506, 0004497, 0009822, 0009804, 0042737, 0033076, 0016098, 0051100, 0090350, 0070989, 0044281, 0008202, 0006805;00980, 00982, 04726;;;;22q13.1;22
LTA;HS047781;0.1207;13103;2;0;5308;1;29;4049;0005615, 0016020, 0005102, 0006915, 0007267, 0050830, 0006959, 0048535, 0048147, 0044130, 0043065, 0002876, 0002925, 0032729, 0042493, 0001666, 0032496, 0007584, 0007165;04940, 05168, 04064, 05166, 04668, 04060;;;;6p21.3;6
ENO2;HS043061;0.1087;18935;10;0;7505;1;29;2026;0005829, 0043204, 0000015, 0001917, 0005886, 0000287, 0004634, 0006094, 0006096, 0044281;01230, 04066, 03018, 00010, 01100, 01200;;;;12p13;12
HTR2A;HS046405;0.1015;24672;1;0;9244;1;29;3356;0030424, 0005901, 0016023, 0005829, 0043198, 0005887, 0071886, 0008144, 0051378, 0004993, 0007202, 0007568, 0008219, 0007613, 0043267, 0051967, 0014065, 0007208, 0008284, 0070374, 0043406, 0010513, 0045907, 0050795, 0014059, 0046883, 0051209, 0042493, 0006950, 0019233, 0030431, 0006939, 0007268, 0001659;04020, 04080, 04540, 04726;;;;13q14-q21;13
IL1B;HS046858;0.0945;276281;2;0;89255;2;29;3553;0005829, 0005615, 0030141, 0005125, 0005149, 0000187, 0006915, 0007267, 0035690, 0071260, 0071407, 0019221, 0007566, 0001660, 0030213, 0006955, 0006954, 0032611, 0031663, 0000165, 0070487, 0070164, 0008285, 2001240, 0010829, 0046627, 0050995, 0043407, 0030593, 0045766, 0060559, 0060355, 0051781, 0045080, 0031622, 0032725, 0034116, 0035066, 0033129, 0043123, 0032729, 0045086, 0045410, 0032755, 0032757, 0046330, 0050996, 0051044, 0045840, 0071639, 0035505, 0042346, 0051092, 0045429, 0032308, 0046827, 0002711, 0042102, 0045944, 0045893, 0030949, 0010575, 0043491, 0050796, 0033198, 0030730, 0014805;05146, 05144, 05142, 05133, 05132, 04932, 05152, 05164, 05168, 05162, 04623, 04010, 05321, 05332, 05323, 04940, 04668, 04620, 04621, 04380, 04060, 05134, 05010, 05143, 04210, 05020, 04064, 04640, 05140;;;;2q14;2
IL5;HS046871;0.0892;32548;3;0;13213;1;29;3567;0005615, 0005137, 0019221, 0006955, 0006954, 0030890, 0045645, 0051024, 0046427, 0050731, 0071803, 0051091, 0045893;05330, 05320, 04672, 05321, 04640, 04060, 04630, 04664, 05310, 04660;;;;5q31.1;5
NOS3;HS081910;0.0828;56881;1;0;15924;1;29;4846;0005901, 0005856, 0005829, 0030666, 0000139, 0005634, 0034618, 0046870, 0050660, 0010181, 0020037, 0005506, 0050661, 0003958, 0004517, 0034617, 0001525, 0006527, 0007596, 0001974, 0043542, 0001701, 0051701, 0031663, 0030324, 0007005, 0045776, 0051926, 0008285, 1902042, 0051346, 0014740, 0010544, 0043267, 0006809, 0007263, 0001542, 0090382, 0045766, 0031284, 0045909, 0050880, 0050999, 0002028, 0003100, 0003057, 0034405, 0009408, 0014806;00330, 04020, 04066, 04151, 01100, 04915, 04370;;;;7q36;7
GFAP;HS045002;0.0725;50568;1;0;21485;1;29;2670;0097449, 0044297, 0005829, 0005882, 0016020, 0005200, 0014002, 0060020, 0030198, 0045109, 0060291, 0010977, 0031102, 0010625, 0051580, 0009611;;;;;17q21;17
GLB1;HS038213;0.0627;48018;1;0;28506;1;29;2720;0043202, 0048471, 0004565, 0016936, 0005975, 0019388, 0006687, 0042340;00052, 00531, 00604, 01100, 00600, 04142, 00511;;;;3p21.33;3
NGF;HS048426;0.0590;95576;1;0;31757;1;29;4803;0005768, 0005576, 0005615, 0005796, 0005057, 0000186, 0007202, 0008344, 0008625, 0006954, 0007613, 0043066, 0045786, 0043524, 0032455, 0031175, 0048011, 0007422, 0048015, 0043065, 0045773, 0050772, 0010628, 0045666, 0051388, 0031954, 0051091, 2000648, 0007265, 0043281, 0046928, 0042493, 0051602, 0051384, 0032496, 0009612, 0035094, 0010193, 0043434, 0009314, 0019233;04010, 04014, 04210, 04722, 04151, 04015;;;;1p13.1;1
GNRH1;HS045300;0.0559;114695;1;0;34727;1;29;2796;0005576, 0005615, 0005183, 0007267, 0007565, 0007275, 0043066, 0008285, 0042698, 0010468, 2000354, 0031960, 0045471, 0007165;04080, 04912;;;;8p21-p11.2;8
AVP;HS050003;0.0550;119445;1;0;35618;1;29;551;0005829, 0030425, 0005576, 0005615, 0030141, 0043027, 0005184, 0004672, 0004871, 0007267, 0007204, 0070371, 0006091, 0007625, 0042538, 0007626, 0002125, 0042711, 0050891, 0043066, 0007621, 0090201, 0051970, 0043084, 0030819, 0030307, 0008284, 0032849, 0010628, 0014049, 0033138, 0031394, 0003084, 0045907, 0070528, 0035813, 0045471, 0035094, 0035176, 0043252, 0055085, 0042310, 0006833;04962, 04080, 04270;;;;20p13;20
FSHB;HS044291;0.0511;91518;1;0;39971;1;29;2488;0005737, 0005576, 0016913, 0046982, 0044267, 0007292, 0007565, 0042699, 0001541, 0016486, 0045780, 0030335, 0008284, 0045944, 0006701, 0045670, 0060011, 0007283, 0007179;04912, 04080, 04913;;;;11p13;11
TSHB;HS053156;0.0488;124034;1;0;42624;1;29;7252;0005576, 0005179, 0009653, 0007267, 0044267, 0007186, 0016486, 0051592, 0043627, 0033189;04918, 04080, 05320;;;;1p13;1
IL4;HS046869;0.0486;114594;1;0;42866;1;29;3565;0009897, 0005576, 0005615, 0008083, 0005136, 0031296, 0030183, 0006968, 0071288, 0006935, 0008203, 0045189, 0042832, 0097028, 0007565, 0006955, 0002227, 0002674, 0043066, 0002677, 0043031, 0045019, 0045671, 2000320, 0045892, 0042104, 0030890, 0045080, 0032733, 0032736, 0048295, 0048304, 0045348, 0051091, 0045582, 0042102, 0045944, 0042523, 0042325, 0010155, 0034097, 0042493, 0045471, 0007584, 0014070, 0002296, 0035745, 0045064;05310, 04060, 04672, 05140, 05162, 04630, 04151, 04664, 04660, 04640, 05320, 05321, 05330;;;;5q31.1;5
IL10;HS046884;0.0453;136039;1;0;47199;1;29;3586;0005615, 0005125, 0008083, 0005141, 0030183, 0042100, 0060670, 0007267, 0071392, 0071222, 0007253, 0042742, 0006954, 0030595, 0043066, 0030889, 0002875, 0002740, 0044130, 0045355, 0032689, 0032695, 0032715, 0051045, 0045347, 0030886, 0045019, 0042130, 0042536, 0032720, 0002904, 0050715, 0045348, 0051091, 0045944, 0045893, 0032800, 0045191, 0051930, 0014823, 0034465, 0042493, 0051384, 0014854, 0032868, 0042092;04630, 05140, 05143, 05144, 04060, 04660, 05145, 04672, 05150, 05310, 05320, 05133, 05152, 05169, 05142, 05322, 05146, 05330, 05321;;;;1q31-q32;1
LHB;HS047618;0.0419;132929;1;0;52111;1;29;3972;0005576, 0005102, 0007267, 0044267, 0008584, 0016486, 0006701, 0007165;04080, 04913, 04917, 04912;;;;19q13.32;19
TGFB1;HS052995;0.0293;284257;1;0;75174;1;29;7040;0030424, 0009986, 0005615, 0005796, 0043025, 0005634, 0031093, 0005578, 0005114, 0046732, 0002460, 0007568, 0006754, 0060751, 0007050, 0016049, 0045216, 0006874, 0071549, 0071407, 0002062, 0007182, 0002248, 0009817, 0048565, 0009790, 0007492, 0007173, 0001837, 0019049, 0085029, 0097191, 0060325, 0007565, 0060364, 0008354, 0002244, 0030214, 0048839, 0070306, 0031663, 0048535, 0010742, 0060744, 0000165, 0007093, 0032943, 0042552, 0043011, 0043537, 0030308, 0022408, 0008156, 0050680, 0045599, 1900126, 0050777, 0010936, 0045930, 0045662, 0007406, 0030279, 0050765, 0001933, 0051280, 0048642, 0042130, 0000122, 0045892, 0030512, 0031100, 0043932, 0060389, 0030168, 0002576, 0043065, 0043536, 0030501, 0090190, 0071158, 0051781, 0008284, 0050921, 0032967, 0050679, 0010718, 0031536, 0010763, 0035066, 0031065, 0032740, 0048298, 0043406, 1901666, 0051092, 0042482, 0010862, 0033138, 0010800, 0043552, 0031334, 0035307, 0051897, 0050714, 0060391, 0051152, 0032930, 0045944, 2000679, 0010575, 0006611, 0000060, 0043491, 0032801, 0060762, 0061035, 0002028, 0045066, 0070723, 0042493, 0032355, 0009749, 0001666, 0034616, 0032570, 0009314, 0033280, 0007435, 0007183, 0007184, 0043029, 0002513, 0007179, 0001657, 0019058;05220, 05211, 05210, 05166, 05152, 05146, 05144, 04010, 05212, 05140, 04932, 05323, 05145, 05161, 04380, 04672, 04390, 04144, 04350, 04110, 04060, 05321, 05200, 05142, 05410, 05414, 05205;;;;19q13.1;19
INS;HS046933;0.0173;925549;3;0;273579;2;29;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
