Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
HTR7;HS046412;0.0265;2929;25;0;1049;5;675;3363;0005887, 0004993, 0008015, 0007623, 0007187, 0006939, 0007268, 0042310;04726, 04080, 04014, 04020;;;;10q21-q24;10
TAC1;HS052857;0.0265;68394;30;0;24786;13;675;6863;0030424, 0005615, 0043025, 0005886, 0008306, 0007267, 0009582, 0007204, 0006954, 0007320, 0007616, 0010459, 0007218, 0045760, 0002675, 2000854, 0010634, 0050671, 0035815, 0046878, 0051496, 0032224, 0032230, 0008217, 0009725, 0032496, 0043278, 0048265, 0019233, 0007268, 0007217;04080;;;;7q21-q22;7
KCNK18;HS046460;0.0251;452;17;0;80;3;675;338567;0005887, 0015269, 0015271, 0071467, 0071435, 0007268;;;;;10q25.3;10
SCN5A;HS081918;0.0230;4793;5;0;1703;5;675;6331;0005901, 0009986, 0005783, 0014704, 0016328, 0030315, 0001518, 0030506, 0086006, 0086067, 0003360, 0086069, 0060048, 0003231, 0071277, 0021549, 0086046, 0042475, 0045760, 0050679, 0010765, 0060371, 0060372, 0086091, 1902305, 0086005, 0060373, 0060307, 0014894, 0021537;04261;;;;3p21;3
KCNQ1;HS047152;0.0223;6550;6;0;1869;5;675;3784;0016323, 0005769, 0005770, 0005764, 0042383, 0008076, 0042589, 0005516, 0005251, 0015271, 0034236, 0034237, 0008157, 0086089, 1902282, 0060048, 0072358, 0071320, 0035690, 0071872, 0016458, 0046676, 1901381, 0071435, 0060372, 0006349, 0086091, 0060307, 0007605, 0007268;04971, 04974, 04725, 05110, 04261, 04972;;;;11p15.5;11
KCNQ5;HS050761;0.0211;487;3;0;196;3;675;56479;0008076, 0005251, 0005242, 0006461, 0007268;04725;;;;6q14;6
KCNQ4;HS056057;0.0208;786;4;0;212;3;675;9132;0009925, 0005886, 0008076, 0005251, 0042472, 0007605, 0007268;04725;;;;1p34;1
FOS;HS044092;0.0205;70599;21;0;23619;11;675;2353;0005829, 0005783, 0016020, 0043005, 0005654, 0005667, 0003690, 0043565, 0003700, 0044212, 0007568, 0071277, 0031668, 0032870, 0034614, 0001661, 0006306, 0038095, 0007565, 0006954, 0045087, 0002755, 0007399, 0045944, 0045893, 0051090, 0006357, 0051591, 0009409, 0051412, 0034097, 0042493, 0009629, 0009416, 0032496, 0009612, 0032570, 0009636, 0035914, 0030431, 0060395, 0051403, 0034166, 0034134, 0034138, 0034142, 0034146, 0034162, 0038123, 0038124, 0006366, 0007179, 0035666;05133, 04725, 04713, 04728, 05132, 05031, 04915, 05161, 05323, 04662, 05142, 04668, 04010, 05200, 05140, 04380, 05210, 05166, 04620, 04660, 05168, 04917;;;;14q24.3;14
INSR;HS046944;0.0204;2000;14;0;966;4;675;3643;0005901, 0010008, 0005899, 0005524, 0005525, 0043559, 0005009, 0005159, 0004716, 0000187, 0032148, 0005975, 0071363, 0031017, 0007186, 0042593, 0003007, 0030238, 0030335, 0008284, 0048639, 0045740, 0046326, 0045725, 0045821, 0045840, 0045429, 0051897, 0060267, 0046777, 0051290, 0045995, 0006355, 0019087;04151, 04014, 04015, 04066, 04520, 04930, 04932, 04960, 04913, 04910;;;;19p13.3-p13.2;19
ADCYAP1;HS040703;0.0180;20403;38;0;3301;5;675;116;0005576, 0005615, 0043195, 0005184, 0051428, 0016521, 0005057, 0007190, 0046034, 0001662, 0019933, 0007267, 0071385, 0007204, 0007565, 0001821, 0002865, 0002878, 0045786, 0060253, 0043267, 0034259, 0031175, 0007218, 0048011, 0001541, 0021983, 0010579, 0008284, 0070374, 0060124, 0032755, 0010976, 0045860, 0032854, 0090274, 0051968, 0045944, 0045909, 0008277, 0070445, 0060078, 0032880, 0045471, 0042594, 0019233;04080, 04911;;;;18p11;18
VIP;HS053356;0.0176;56147;31;0;13645;8;675;7432;0005576, 0043025, 0005184, 0007589, 0007611, 0043066, 0043267, 0048662, 0010579, 0008284, 0001938, 0045732, 0045909, 0032880, 0051930, 0009966;04080;;;;6q25;6
ASAH2;HS092236;0.0176;1189;16;0;430;3;675;56624;0016021, 0005739, 0005886, 0017040, 0006915, 0006672, 0006687, 0007165, 0044281;01100, 00600;;;;10q11.21;10
PANX1;HS044241;0.0162;2348;5;0;596;3;675;24145;0032059, 0005783, 0005789, 0005921, 0016021, 0005886, 0043234, 0005262, 0055077, 0022840, 0045087, 0035872, 0050717, 0050718, 0034214, 0033198, 0002931, 0007268;;;;;11q21;11
SCN9A;HS051922;0.0159;1998;5;0;635;3;675;6335;0001518, 0031402, 0005248, 0048266, 0006954, 0009791, 0019228, 0009636;;;;;2q24;2
HTR1A;HS046400;0.0152;22099;22;0;8228;6;675;3350;0005887, 0004993, 0007198, 0001662, 0008283, 0035640, 0008284, 0050795, 0042053, 0046883, 0014062, 0042428, 0042310;04080, 04726;;;;5q11.2-q13;5
SLC5A8;HS042389;0.0150;1707;4;0;767;3;675;160728;0016324, 0016021, 0005886, 0015293, 0006915, 0006811, 0006814, 0055085;;;;;12q23.1;12
APOH;HS046790;0.0149;5949;4;0;2444;4;675;350;0009986, 0042627, 0034364, 0034361, 0008201, 0060230, 0005543, 0007597, 0016525, 0030195, 0010596, 0001937, 0051918, 0033033, 0034392, 0031639, 0051006, 0006641, 0034197;;;;;17q24.2;17
MMP9;HS048024;0.0142;83090;46;0;23360;9;675;4318;0005615, 0005578, 0005518, 0004222, 0008270, 0030574, 0007566, 0022617, 0030225, 0043065, 0051549, 0006508, 0001501;05200, 05206, 04668, 05219, 05205, 04670, 05161, 05202, 04915;;;;20q11.2-q13.1;20
SLC2A1;HS052483;0.0140;20109;36;0;5716;5;675;6513;0016323, 0005901, 0005911, 0030864, 0001939, 0016021, 0042470, 0030496, 0005886, 0055056, 0033300, 0005355, 0043621, 0042910, 0042149, 0006112, 0019852, 0006461, 0050796, 0006970;04066, 05166, 04911, 04976, 04920, 05200, 05211;;;;1p34.2;1
CLNK;HS040746;0.0140;379;2;0;136;2;675;116449;0005622, 0005070, 0006955, 0035556, 0007169;;;;;4p16.1;4
EDNRA;HS042822;0.0131;17890;14;0;6452;5;675;1909;0005887, 0031965, 0030315, 0004962, 0004435, 0007190, 0007202, 0007568, 0014824, 0008283, 0071260, 0007204, 0051482, 0048484, 0048144, 0003094, 0015758, 0060322, 0007507, 0001821, 0001701, 0060137, 0043066, 0030818, 0014032, 0001569, 0043084, 0008284, 0070374, 0050729, 0090184, 0090023, 0042482, 0001934, 0051281, 0007205, 0008217, 0050678, 0007585, 0001666, 0032496, 0043278, 0007266, 0019233, 0048659;04080, 04270, 04020;;;;4q31.22;4
SLC1A3;HS052462;0.0128;3908;8;0;1277;3;675;6507;0042995, 0009986, 0043205, 0016021, 0043025, 0005886, 0016595, 0005314, 0005313, 0017153, 0031223, 0048667, 0021545, 0070779, 0009449, 0006537, 0051938, 0050885, 0001504, 0050806, 0046677, 0042493, 0009416, 0009611, 0007605;04724;;;;5p13;5
TREX1;HS037893;0.0120;908;2;0;261;2;675;11277;0005789, 0005635, 0008296, 0032558, 0003690, 0008853, 0046872, 0032405, 0032407, 0042803, 0003697, 0008219, 0035458, 0006310, 0006260, 0045087, 0006298, 0032481;04623;;;;3p21.31;3
MTHFD1;HS048227;0.0117;845;12;0;289;2;675;4522;0005829, 0005739, 0005524, 0004329, 0004477, 0004488, 0004486, 0046655, 0009396, 0000105, 0009086, 0006730, 0006164, 0035999;00670, 01100;;;;14q24;14
F5;HS043202;0.0116;11801;7;0;4232;4;675;2153;0005576, 0005615, 0005886, 0031093, 0005507, 0008015, 0007155, 0030168, 0002576;04610;;;;1q23;1
No mapping: HS065182;HS065182;0.0116;10;1;0;3;1;675;;;;;;;null;null
CACNA1F;HS053571;0.0115;1019;4;0;308;2;675;778;0005891, 0046872, 0005245, 0007409, 0006874, 0048813, 0050908, 0060041;04020, 04261, 04010, 04270, 04723, 04725, 04726, 04911, 04912, 05410, 05010, 05412, 05414, 04260, 04727;;;;Xp11.23;X
WIF1;HS040382;0.0113;1387;2;0;336;2;675;11197;0005576, 0007275, 0045600, 0007165, 0016055;04310;;;;12q14.3;12
KCNN3;HS047150;0.0109;1424;9;0;378;2;675;3782;0005737, 0016021, 0005886, 0016286, 0007268;04911;;;;1q21.3;1
GRIK1;HS045833;0.0103;1204;6;0;468;2;675;2897;0030054, 0030425, 0005887, 0032983, 0045211, 0042734, 0005234, 0015277, 0030534, 0048266, 0007417, 0051967, 0014054, 0032230, 0060079, 0060080, 0051966, 0007268, 0035249;04080, 04724;;;;21q22.11;21
SCN2A;HS051913;0.0097;1315;3;0;573;2;675;6326;0005887, 0014704, 0033268, 0033270, 0030315, 0001518, 0005248, 0006915, 0042552;;;;;2q24.3;2
SCN4A;HS051916;0.0097;1482;2;0;574;2;675;6329;0005887, 0001518, 0005248, 0006936;;;;;17q23.3;17
No mapping: HS044152;HS044152;0.0094;28;1;0;13;1;675;;;;;;;null;null
No mapping: HS050381;HS050381;0.0094;23;3;0;13;1;675;;;;;;;null;null
TPH2;HS040917;0.0094;2358;12;0;634;2;675;121278;0005829, 0043005, 0016597, 0005506, 0004510, 0009072, 0071285, 0007623, 0046219, 0014823, 0051592, 0043627, 0051384, 0031667, 0006950, 0042427, 0044281;04726, 01100, 00380;;;;12q21.1;12
TPH1;HS053106;0.0092;8191;12;0;2872;3;675;7166;0005829, 0043005, 0016597, 0005506, 0004510, 0009072, 0046849, 0007623, 0046219, 0060749, 0030279, 0035902, 0042427, 0044281;04726, 01100, 00380;;;;11p15.3-p14;11
TRPM8;HS053668;0.0092;2401;3;0;684;2;675;79054;0005789, 0009897, 0016021, 0045121, 0005262, 0006874, 0051289, 0070207, 0009409, 0050955;;;;;2q37.1;2
AAAS;HS054355;0.0091;984;3;0;697;2;675;8086;0005813, 0005737, 0031965, 0005643, 0005975, 0019221, 0009566, 0015758, 0007612, 0007077, 0006913, 0010827, 0046822, 0044281, 0055085, 0016032;03013;;;;12q13;12
PNKD;HS044671;0.0091;1808;8;0;700;2;675;25953;0016020, 0005739, 0005634, 0004416, 0008270, 0006750;;;;;2q35;2
No mapping: HS043541;HS043541;0.0090;52;7;0;17;1;675;;;;;;;null;null
KCNA1;HS047018;0.0090;1991;2;0;724;2;675;3736;0016324, 0030425, 0044224, 0043025, 0008076, 0005251, 0051260, 0007268;;;;;12p13.32;12
PTGER2;HS051091;0.0090;2337;2;0;730;2;675;5732;0005887, 0004957, 0007189, 0071380, 0042127, 0032496;04080;;;;14q22;14
HRH3;HS040431;0.0088;1626;7;0;785;2;675;11255;0005887, 0004969, 0007187, 0007269;04080;;;;20q13.33;20
No mapping: HS047853;HS047853;0.0087;58;1;0;21;1;675;;;;;;;null;null
MPHOSPH9;HS039581;0.0086;29;1;0;22;1;675;10198;0005814, 0005794, 0000139, 0005634, 0005886, 0000087;;;;;12q24.31;12
SNAP25;HS085772;0.0084;9238;3;0;3396;3;675;6616;0030054, 0030426, 0048471, 0005886, 0031201, 0045202, 0070032, 0005802, 0006112, 0014047, 0001504, 0050796, 0044281, 0016081;04130, 04721, 04911;;;;20p12-p11.2;20
BDNF;HS051865;0.0081;87549;33;0;18189;6;675;627;0005576, 0048471, 0008021, 0008083, 0007411, 0007412, 0001662, 0002544, 0016358, 0007631, 0014047, 0048839, 0007611, 0042490, 0006120, 0007406, 0043524, 0045843, 0021675, 0007399, 0008038, 0048170, 0045666, 0051965, 0060079, 0019222, 0046668, 0048172, 0072347, 0014076, 0009725, 0055093, 0001666, 0033189, 0001657;05030, 05016, 05034, 04722, 04010;;;;11p13;11
MT-ND4;HS085717;0.0081;1542;2;0;978;2;675;4538;0016021, 0005747, 0008137, 0006120, 0044281;00190, 01100, 05012;;;;;placenta
PER2;HS055689;0.0081;8444;3;0;3653;3;675;8864;0005634, 0048471, 0000988, 0004871, 0007623, 0000122, 0006351;04713, 04710, 05202, 05168;;;;2q37.3;2
HBQ1;HS046134;0.0078;71;1;0;38;1;675;3049;0005833, 0020037, 0005506, 0019825, 0005344, 0015671;;;;;16p13.3;16
No mapping: HS040181;HS040181;0.0078;83;1;0;38;1;675;;;;;;;null;null
EDN1;HS042819;0.0077;129208;38;0;25055;7;675;1906;0005737, 0005615, 0005125, 0031707, 0031708, 0005179, 0014824, 0007589, 0019722, 0051216, 0016049, 0071347, 0071356, 0009953, 0007204, 0051482, 0042045, 0007186, 0015758, 0007507, 0001821, 0001701, 0048016, 0007243, 0045321, 0060137, 0051899, 0042474, 0010259, 0030195, 0030818, 0032269, 0046888, 0051771, 0034392, 0000122, 0014032, 0030185, 0001569, 0030072, 0014065, 0031583, 0010613, 0045793, 0070101, 0010595, 0010460, 0046887, 0043507, 0045840, 0090023, 0045429, 0042482, 0060585, 0010870, 0035815, 0060298, 0048661, 0045987, 0035810, 0001516, 0042313, 0007205, 0006885, 0051930, 0003100, 0019229, 0007585, 0043200, 0001666, 0032496, 0035094, 0033574, 0043179, 0019233, 0042554, 0014826;04916, 05410, 04668, 04066, 04080, 04270;;;;6p24.1;6
